name,iata_code,iso_country,iso_region,municipality,type,scheduled_service,latitude_deg,longitude_deg
Omsk Central Airport,OMS,RU,RU-OMS,Omsk,large_airport,yes,54.963124,73.312418
Strezhevoy Airport,SWT,RU,RU-TOM,Strezhevoy,medium_airport,no,60.7094,77.660004
Tomsk Kamov Airport,TOF,RU,RU-TOM,Tomsk,large_airport,yes,56.380299,85.208298
Spichenkovo Airport,NOZ,RU,RU-KEM,Novokuznetsk,medium_airport,yes,53.811401,86.877197
Dikson Airport,DKS,RU,RU-KYA,Dikson,medium_airport,no,73.517807,80.379669
Khatanga Airport,HTG,RU,RU-KYA,Khatanga,medium_airport,yes,71.97810363769531,102.49099731445312
Svetlogorsk Airport,SES,RU,RU-KYA,Svetlogorsk,medium_airport,no,66.839996,88.403336
Igarka Airport,IAA,RU,RU-KYA,Igarka,medium_airport,yes,67.437202,86.621902
Alykel International Airport,NSK,RU,RU-KYA,Norilsk,large_airport,yes,69.307951,87.325906
Turukhansk Airport,THX,RU,RU-KYA,Turukhansk,small_airport,yes,65.797203,87.935303
Anapa Vityazevo Airport,AAQ,RU,RU-KDA,Krasnyi Kurgan,medium_airport,yes,45.002102,37.347301
Gelendzhik Airport,GDZ,RU,RU-KDA,Gelendzhik,medium_airport,yes,44.5820926295,38.0124807358
Krasnodar Pashkovsky International Airport,KRR,RU,RU-KDA,Krasnodar,large_airport,yes,45.034465,39.174215
Akhmat Kadyrov Grozny International Airport,GRV,RU,RU-CE,Grozny,large_airport,yes,43.388106,45.699772
Makhachkala Uytash International Airport,MCX,RU,RU-DA,Makhachkala,large_airport,yes,42.816799,47.652302
Mineralnye Vody Airport,MRV,RU,RU-STA,Mineralnyye Vody,large_airport,yes,44.225101,43.081902
Nalchik Airport,NAL,RU,RU-KB,Nalchik,medium_airport,yes,43.512901,43.6366
Vladikavkaz Beslan International Airport,OGZ,RU,RU-SE,Beslan,medium_airport,yes,43.205101,44.606602
Magas Airport,IGT,RU,RU-IN,Sunzha,medium_airport,yes,43.323268,45.012568
Stavropol Shpakovskoye Airport,STW,RU,RU-STA,Stavropol,medium_airport,yes,45.10919952392578,42.11280059814453
Platov International Airport,ROV,RU,RU-ROS,Rostov-on-Don,large_airport,yes,47.493888,39.924722
Taganrog Yuzhny Airport,TGK,RU,RU-ROS,Taganrog,medium_airport,yes,47.1983333,38.8491667
Sochi International Airport,AER,RU,RU-KDA,Sochi,large_airport,yes,43.449902,39.9566
Astrakhan Narimanovo Boris M. Kustodiev International Airport,ASF,RU,RU-AST,Astrakhan,large_airport,yes,46.282843,48.010511
Elista Airport,ESL,RU,RU-KL,Elista,medium_airport,yes,46.3739013671875,44.33089828491211
Volgograd International Airport,VOG,RU,RU-VGG,Volgograd,large_airport,yes,48.78134,44.339194
Cape Air Seaplanes on Boston Harbor Seaplane Base,BNH,US,US-MA,Boston,seaplane_base,no,42.352502,-71.025832
Spirit Lake Municipal Airport,RTL,US,US-IA,Okoboji,small_airport,no,43.387501,-95.139198
Port Largo Airport,KYL,US,US-FL,Key Largo,small_airport,no,25.09334,-80.42992
Farewell Airport,FWL,US,US-AK,Farewell,small_airport,no,62.509327,-153.892279
Corcoran Airport,CRO,US,US-CA,Corcoran,small_airport,no,36.102661,-119.594815
Park Township Airport,HLM,US,US-MI,Holland,small_airport,no,42.795898,-86.162003
Big Pine Sands STOLGround,XFT,US,US-FL,"Big Pine Key, Florida",small_airport,no,24.723717,-81.387856
Pilot Station Airport,PQS,US,US-AK,Pilot Station,small_airport,yes,61.96169,-162.941944
Kurchatov Chelyabinsk International Airport,CEK,RU,RU-CHE,Chelyabinsk,large_airport,yes,55.303141,61.504927
Magnitogorsk International Airport,MQF,RU,RU-BA,Magnitogorsk,large_airport,yes,53.391991,58.755235
Sabetta International Airport,SBT,RU,RU-YAN,Sabetta,medium_airport,yes,71.219167,72.052222
Bovanenkovo Airport,BVJ,RU,RU-YAN,Bovanenkovo,medium_airport,yes,70.315278,68.333611
Salekhard Airport,SLY,RU,RU-YAN,Salekhard,medium_airport,yes,66.5907974243164,66.61100006103516
Mys Kamenny Airport,YMK,RU,RU-YAN,Mys Kamennyi,small_airport,no,68.467676,73.596733
Krasnoselkup Airport,KKQ,RU,RU-YAN,Krasnoselkup,small_airport,no,65.717,82.455
Tarko-Sale Airport,TQL,RU,RU-YAN,Tarko-Sale,small_airport,no,64.930485,77.811295
Urengoy Airport,UEN,RU,RU-YAN,Urengoy,small_airport,no,65.9599990845,78.43699646
Berezovo Airport,EZV,RU,RU-KHM,,medium_airport,no,63.92100143432617,65.03050231933594
Khanty Mansiysk Airport,HMA,RU,RU-KHM,Khanty-Mansiysk,medium_airport,yes,61.0285,69.086098
